Avg power (W),Energy simple (J),Energy trapz (J),BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,EXTRA_TEMPERATURE,run
1.540206849,25.190083015395,25.010164523628,-349411.71710526315,4408.0,273.0,0
1.5162004472517985,22.743006708776978,22.64376707702,-343965.61870503594,4408.0,273.0,1
1.5679953690066224,25.545780551855895,25.435328569616004,-355715.8278145695,4408.0,273.0,2
1.876385020379562,27.866193937656877,27.66192119837201,-425677.18248175184,4408.0,273.0,3
1.7772493350285714,26.520114577296344,26.356312612608008,-403187.2357142857,4408.0,273.0,4
1.6460200925562918,26.754410584409968,26.675493448372002,-373416.5364238411,4408.0,273.0,5
1.6914704526666666,30.732326654500667,30.473603756327996,-383727.4166666667,4408.0,273.0,6
1.6033993548299321,25.537341524376327,25.362395121812,-363747.5850340136,4408.0,273.0,7
1.6714437285106385,25.387558792348088,25.140628368515998,-379184.1489361702,4408.0,273.0,8
1.531553837908497,25.328837371330724,25.19111040666,-347448.6928104575,4408.0,273.0,9
